business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
Yangtze Meat & Fish Market	4599 Mission St	San Francisco	CA	94112				89069_20161202	2017-12-02	83.0	Routine - Unscheduled	89069_20161202_103109	Unclean or unsanitary food contact surfaces	High Risk
Cabin	1750 Polk St	San Francisco	CA	94109				76408_20170127	2017-01-27	100.0	Routine - Unscheduled			
Chile Lindo	2944 16th St	San Francisco	CA	94103	37.765155	-122.418766		62010_20160415	2017-04-15	96.0	Routine - Unscheduled	62010_20160415_103121	Inadequate procedures or records for time as a public health control	Moderate Risk
Sam's Grill	374 Bush St	San Francisco	CA	94104	37.790858	-122.403553		3116_20160916	2017-09-16		Reinspection/Followup			
Murphy's	217 Kearny St	San Francisco	CA	94108	37.790125	-122.403924		1832_20150819	2017-08-19	78.0	Routine - Unscheduled	1832_20150819_103109	Unclean or unsanitary food contact surfaces	High Risk
Yucatasia Deli & Sandwich	2164 Mission St	San Francisco	CA	94110	37.762366	-122.419491		18514_20161018	2017-10-18	79.0	Routine - Unscheduled	18514_20161018_103144	Unapproved or unmaintained equipment or utensils	Low Risk
Hongry Kong	1975 Bryant	San Francisco	CA					69863_20180306	2017-03-06		New Construction	69863_20180306_103156	Permit license or inspection report not posted	Low Risk
Lai Hong Lounge	1416 Powell St	San Francisco	CA	94133	37.797596	-122.410207		69205_20150513	2017-05-13	71.0	Routine - Unscheduled	69205_20150513_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
MANN MIDDLE SCHOOL	3351 23rd St	San Francisco	CA	94110	37.753704	-122.420198	+14155695881	5811_20160425	2017-04-25	100.0	Routine - Unscheduled			
T & T Cafe	601 Broadway St	San Francisco	CA	94133				87761_20160616	2017-06-16	86.0	Routine - Unscheduled	87761_20160616_103150	Improper or defective plumbing	Low Risk
The Organic Coup	224 Kearny St	San Francisco	CA	94108				88708_20180130	2017-01-30	100.0	Routine - Unscheduled			
Mi Tierra Market	2023 MISSION St	San Francisco	CA	94110	37.764665	-122.419558		66961_20160311	2017-03-11	63.0	Routine - Unscheduled	66961_20160311_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
BIG MOUTH BURGERS	3392 24th St	San Francisco	CA	94110	37.752158	-122.420362		1002_20150422	2017-04-22		Reinspection/Followup			
Cherry Blossom Bakery	844 Clement St	San Francisco	CA	94118	37.782778	-122.468341		39810_20160308	2017-03-08	77.0	Routine - Unscheduled	39810_20160308_103139	Improper food storage	Low Risk
